Title,Type,Standard Classification,Bureaus,Bus Capability,Bus Priority,Description (Derived HTML),App Support Model,Cloud Service type,App hosting environment,Related App,Business Owner,Product Owner,Support Owner,Public,Displayed In
ArcGIS Explorer,Application,City Standard,Citywide,"Geospatial Analytics, Mapping / Geospatial",High,"<p>ArcGIS Explorer is a mobile applications that allows access to an organization's digital maps, even in environments without internet access</p><h2>Publisher</h2><p>Esri</p>",Full Support,,On Premise,Esri Mobile Apps,,Rick.Schulte@portlandoregon.gov,Rick.Schulte@portlandoregon.gov,Yes,Technology Services
ArcGIS Field Maps,Application,City Standard,Citywide,"Geospatial Analytics, Mapping / Geospatial",High,"<p>ArcGIS Field Maps is an all-in-one app that uses data-driven maps to help mobile workers perform data collection and editing, find assets and information, and report their real-time locations</p><h2>Publisher</h2><p>Esri</p>",Full Support,,On Premise,Esri Mobile Apps,,Rick.Schulte@portlandoregon.gov,Rick.Schulte@portlandoregon.gov,Yes,Technology Services
ArcGIS GeoEvent Server,Application,City Standard,Citywide,"Support Delivery of Services, IT System Development and Integration Support, Geospatial Analytics, Mapping / Geospatial",High,<p>ArcGIS GeoEvent Server enables real-time event-based data streams to be integrated as data sources in your enterprise GIS.</p><h2>Publisher</h2><p>Esri</p>,Full Support,,On Premise,Esri Servers,,Rick.Schulte@portlandoregon.gov,Rick.Schulte@portlandoregon.gov,Yes,Technology Services
ArcGIS API for JavaScript,Application,City Standard,Citywide,"Support Delivery of Services, IT System Development and Integration Support, Geospatial Analytics, Mapping / Geospatial",Medium,<p>The ArcGIS API for JavaScript provides the capability to to embed maps and tasks in web applications with minimal impact on local resources.</p><h2>Publisher</h2><p>Esri</p>,Full Support,,On Premise,Esri Development Products,,Rick.Schulte@portlandoregon.gov,Rick.Schulte@portlandoregon.gov,Yes,Technology Services
ArcGIS Navigator,Application,City Standard,Citywide,"Geospatial Analytics, Mapping / Geospatial",High,<p>ArcGIS Navigator is a mobile navigation app that uses GIS software to route your field workforce.</p><h2>Publisher</h2><p>Esri</p>,Full Support,,On Premise,Esri Mobile Apps,,Rick.Schulte@portlandoregon.gov,Rick.Schulte@portlandoregon.gov,Yes,Technology Services
ArcGIS Online,Application,City Standard,Citywide,"Geospatial Analytics, Mapping / Geospatial",High,<p>ArcGIS Online is a complete mapping and analysis solution that can be used on its own or with other enterprise ArcGIS products.</p><h2>Publisher</h2><p>Esri</p>,Full Support,,On Premise,,,Rick.Schulte@portlandoregon.gov,Rick.Schulte@portlandoregon.gov,Yes,Technology Services
ArcGIS Quick Capture,Application,City Standard,Citywide,"Geospatial Analytics, Mapping / Geospatial",High,<p>ArcGIS Quick Capture provides field users with a quick and simple process for collecting filed observations.</p><h2>Publisher</h2><p>Esri</p>,Full Support,,On Premise,Esri Mobile Apps,,Rick.Schulte@portlandoregon.gov,Rick.Schulte@portlandoregon.gov,Yes,Technology Services
ArcGIS Runtime SDK for .NET,Application,City Standard,Citywide,"Support Delivery of Services, IT System Development and Integration Support, Geospatial Analytics, Mapping / Geospatial",Medium,"<p>ArcGIS Runtime SDK for .NET enables developers to build apps targeting the application platforms: Windows Presentation Foundation (WPF), Windows UI Library (WinUI), Universal Windows Platform (UWP), Xamarin.Android, Xamarin.iOS, and Xamarin.Forms.</p><h2>Publisher</h2><p>Esri</p>",Full Support,,On Premise,Esri Development Products,,Rick.Schulte@portlandoregon.gov,Rick.Schulte@portlandoregon.gov,Yes,Technology Services
ArcGIS Enterprise Server,Application,City Standard,Citywide,"Support Delivery of Services, IT System Development and Integration Support, Geospatial Analytics, Mapping / Geospatial",High,"<p>ArcGIS Enterprise Server is a back-end server software component of ArcGIS Enterprise that makes your geographic information available across the organization and, optionally, to anyone with an internet connection.</p><h2>Publisher</h2><p>Esri</p>",Full Support,,On Premise,Esri Servers,,Rick.Schulte@portlandoregon.gov,Rick.Schulte@portlandoregon.gov,Yes,Technology Services
ArcGIS Survey123,Application,City Standard,Citywide,"Geospatial Analytics, Mapping / Geospatial",High,"<p>ArcGIS Survey123 is a simple and intuitive form-centric data gathering solution used to create, share and analyze surveys using a predefined 3-step process.</p><h2>Publisher</h2><p>Esri</p>",Full Support,,On Premise,Esri Mobile Apps,,Rick.Schulte@portlandoregon.gov,Rick.Schulte@portlandoregon.gov,Yes,Technology Services
ArcGIS Workforce,Application,City Standard,Citywide,"Geospatial Analytics, Mapping / Geospatial",High,<p>ArcGIS Workforce is a mobile solution that utilizes location tracking to achieve better coordination and teamwork within your field workforce.</p><h2>Publisher</h2><p>Esri</p>,Full Support,,On Premise,Esri Mobile Apps,,Rick.Schulte@portlandoregon.gov,Rick.Schulte@portlandoregon.gov,Yes,Technology Services
ArcObjects SDK for .NET,Application,City Standard,Citywide,"Support Delivery of Services, IT System Development and Integration Support, Geospatial Analytics, Mapping / Geospatial",Medium,<p>ArcObjects is a library of COM components that build up the foundation of the Esri's ArcGIS platform.</p><h2>Publisher</h2><p>Esri</p>,Full Support,,On Premise,Esri Development Products,,Rick.Schulte@portlandoregon.gov,Rick.Schulte@portlandoregon.gov,Yes,Technology Services
Oracle Application Server,Application,Legacy Standard,Citywide,"Support Delivery of Services, Provide and Maintain IT Infrastructure",,<p>Oracle Application Server is a Java enterprise edition server that works in collaboration with a web server to enable web based applications.</p><h2>Publisher</h2><p>Oracle Corp</p><h2>Additional information</h2>The City deprecated use of the Oracle Application Server in favor of other more advanced technologies such as Apache's TomCat.,Full Support,,On Premise,,,Carolyn.Glass@portlandoregon.gov,Carolyn.Glass@portlandoregon.gov,Yes,Technology Services
Asset Manager,Application,Bureau Standard,PBOT,"Asset Management, Roadway Repair and Maintenance",,<p>Work Management - Integration / ETL Services</p><h2>Publisher</h2><p>City of Portland</p>,Bureau / Vendor Support,,On Premise,,,,,Yes,Technology Services
AssetWorks,Application,Bureau Standard,PBOT,"Asset Management, Equipment",,<p>PBOT uses AssetWorks to provide an integrated solution for spare parts management.</p><h2>Publisher</h2><p>AsetWorks</p>,Bureau / Vendor Support,,On Premise,,,,,Yes,Technology Services
AutoReturn (ARIES),Application,Bureau Standard,PBOT,"Ground Transportation, Parking",,<p>ARIES is an in-house developed tool for managing parking control / towing of vehicles.</p><h2>Publisher</h2><p>City of Portland</p>,Bureau / Vendor Support,,On Premise,,,,,Yes,Technology Services
AutoTURN,Application,Bureau Standard,PBOT,"Ground Transportation, Surface Transportation",,"<p>AutoTURN is used to analyze road and site design projects including intersections, roundabouts, bus terminals, loading bays, parking lots, etc. involving vehicle access checks, clearances, and swept path maneuvers.</p><h2>Publisher</h2><p>Transoft Solutions</p>",Bureau / Vendor Support,,On Premise,,,,,Yes,Technology Services
Azure DevOps Server,Application,City Standard,Citywide,"Support Delivery of Services, IT System Development and Integration Support",,"<p>Azure DevOps Server is a set of collaborative software development tools, hosted on-premises, that integrates with several IDEs and/or editosr, enabling cross-functional team to work effectively on projects.</p><h2>Publisher</h2><p>Microsoft</p>",Full Support,,On Premise,,,Carolyn.Glass@portlandoregon.gov,Carolyn.Glass@portlandoregon.gov,Yes,Technology Services
BareTail Pro,Application,City Standard - Restricted,Citywide,"Support Delivery of Services, System and Network Monitoring",,<p>BairTail Pro is a real-time log file monitoring application supporting advanced search and filtering capabilities.</p><h2>Annual cost</h2><p>$ 35 per licensed seat</p><h2>Publisher</h2><p>Baremetalsoft</p><h2>Additional information</h2>https://www.baremetalsoft.com/baretailpro/,User Support,,On Premise,,,Carolyn.Glass@portlandoregon.gov,Carolyn.Glass@portlandoregon.gov,Yes,Technology Services
Barricade Reports Database,Application,Bureau Standard,PBOT,"Ground Transportation, Surface Transportation, Parking",,<p>Barricade Reports Database is a Small Access application used to create reports for Parking Enforcement</p><h2>Publisher</h2><p>City of Portland</p>,Bureau / Vendor Support,,On Premise,,,,,Yes,Technology Services
BarTender,Application,Bureau Standard,"BTS,PBOT,PP&R,PWB","Other Government, Permits and Licensing",,"<p>BarTender is a label design application that integrates with many enterprise applications to allow design, creation, and printing of labels with images, text, barcodes, and RFID tags.</p><h2>Publisher</h2><p>Seagull Scientific</p>",Bureau / Vendor Support,,On Premise,,,Carolyn.Glass@portlandoregon.gov,Bryan.Pirrello@portlandoregon.gov,Yes,Technology Services
BitLocker,Application,City Standard,Citywide,"Cyber Security Management, Cryptography",High,<p>BitLocker is a full volume encryption feature included with Microsoft Windows OS</p><h2>Additional information</h2><ul><li>This is an integrated feature with the Windows operating system. Should turning it on be noted in the Windows catalog entry and then not called out separately in the catalog? There isn't any product to purchase here</li></ul>,Full Support,,On Premise,Windows Native Utilities,,Bryan.Pirrello@portlandoregon.gov,Bryan.Pirrello@portlandoregon.gov,yes,Technology Services
Blackberry,Application,Legacy Standard,Citywide,"Communications, Voice Communication",,<p>Off-the-shelf software used for barcode creation and printing.  Used by Parking Enforcement for parking meter and sign post barcode labels.</p>,User Support,,On Premise,,,Bryan.Pirrello@portlandoregon.gov,Bryan.Pirrello@portlandoregon.gov,Yes,Technology Services
BOMDrive,Application,Bureau Standard,PBOT,"Other Government, Permits and Licensing",,<p>BOMDrive tracks commercial drivers license certification.</p><h2>Publisher</h2><p>City of Portland</p>,Bureau / Vendor Support,,On Premise,,,,,Yes,Technology Services
Bootstrap,Application,Bureau Standard,BTS,"Support Delivery of Services, IT System Development and Integration Support, Geospatial Analytics, Mapping / Geospatial",,<p>Bootstrap is a runtime web application tool</p>,Full Support,,On Premise,,,Carolyn.Glass@portlandoregon.gov,Carolyn.Glass@portlandoregon.gov,Yes,Technology Services
BrightAuthor,Application,City Standard,Citywide,"Support Delivery of Services, Content Management",,<p>BrightAuthor is an application used to create content for the BrightSign digital signage system</p><h2>Publisher</h2><p>BrightSign</p>,Limited Support,,On Premise,,,James.Apple@portlandoregon.gov,James.Apple@portlandoregon.gov,Yes,Technology Services
Brocade SANnav Management Portal,Application,City Standard,Citywide,"Support Delivery of Services, System and Network Monitoring",,"<p>SANnav Management Portal transforms information about SAN behavior and performance into actionable insights, allowing administrators to quickly identify, isolate, and correct problems before they impact the business.</p><h2>Publisher</h2><p>Broadcom</p>",Full Support,,On Premise,,,Ellen.Carder@portlandoregon.gov,Ellen.Carder@portlandoregon.gov,Yes,Technology Services
Brocade Network Advisor,Application,City Standard,Citywide,"Support Delivery of Services, System and Network Monitoring, Provide and Maintain IT Infrastructure",,"<p>Brocade Network Advisor provides a single, easy-to-use network management platform for complete, unified control of SAN and IP environments across traditional operational boundaries.</p><h2>Publisher</h2><p>Broadcom</p>",Full Support,,On Premise,,,Ellen.Carder@portlandoregon.gov,Ellen.Carder@portlandoregon.gov,Yes,Technology Services
Business Objects Enterprise,Application,City Standard,Citywide,"Support Delivery of Services, IT System Development and Integration Support, Geospatial Analytics, Mapping / Geospatial, Information Sharing, Reporting and Information",,"<p>Business Objects Enterprise is a centralized suite for data reporting, visualization, and sharing.</p><h2>Publisher</h2><p>SAP</p><h2>Current version</h2><p>4.3</p>",Full Support,,On Premise,,,Diana.Allen@portlandoregon.gov,Diana.Allen@portlandoregon.gov,Yes,Technology Services
Cale Web Office,Application,Bureau Standard,PBOT,"Information Sharing, Reporting and Information",,<p>Cale Web Office is a parking control reporting application</p><h2>Publisher</h2><p>City of Portland</p>,Bureau / Vendor Support,,On Premise,,,,,Yes,Technology Services
CX-E Voice,Application,Bureau Standard,BTS,"Communications, Voice Communication",,"<p>CX-E Voice, formarly known as Call Express prior to acqusition by OpenText, delivers unified messaging, voicemail, transcription, interactive voice response (IVR), call center, a speech-driven personal assistant and automated attendant as well as automated call and text notifications</p><h2>Publisher</h2><p>OpenText</p>",Bureau / Vendor Support,,On Premise,,,Lee.Nichols@portlandoregon.gov,Lee.Nichols@portlandoregon.gov,Yes,Technology Services
Camtasia,Application,Allowed,Citywide,"Information Sharing, Information Exchange and Transformation",,"<p>Camtasia is a software suite for creating and recording video tutorials and presentations via screencast, or via a direct recording plug-in to Microsoft PowerPoint. Other multimedia recordings may be recorded at the same time or added separately.</p><h2>Publisher</h2><p>TechSmith</p>",Limited Support,,On Premise,,,Bryan.Pirrello@portlandoregon.gov,Bryan.Pirrello@portlandoregon.gov,Yes,Technology Services
Kiwi CATTools,Application,City Standard,Citywide,"Support Delivery of Services, System and Network Monitoring, Provide and Maintain IT Infrastructure",,"<p>Kiwi CatTools (KCT) is a network automation application that provides you with the tools to manage the configuration of your network devices, including routers, switches, and firewalls.</p><h2>Publisher</h2><p>Solar Winds</p>",Full Support,,On Premise,,,Carolyn.Glass@portlandoregon.gov,Carolyn.Glass@portlandoregon.gov,Yes,Technology Services
FTP Server,Application,Bureau Standard,BTS,"Support Delivery of Services, Provide and Maintain IT Infrastructure, Information Sharing, Information Exchange and Transformation",,"<p>FTP Server is a secure file transfer protocol (FTP application deployed in a Windows operating environment.</p><h2>Publisher</h2><p>Cerberus</p><h2>Software Tiers</h2><ul><li><a href'""https://www.cerberusftp.com/cerberus-ftp-server-standard-edition/"">Standard</a> - $489 annual supbscription with basic feature set.</li><li><a href'""https://www.cerberusftp.com/cerberus-ftp-server-professional-edition/"">Professional</a> - $899 annual subscription is fully inclusive of the Standard tier feature set plus several security enhancements.</li><li><a href'""https://www.cerberusftp.com/cerberus-ftp-server-enterprise-edition/"">Enterprise</a> - $2,199 annual subsription is fully inclusive of the Professional tier feature set plus several automation and notification enhancements.</li></ul>",Bureau / Vendor Support,,On Premise,,,Carolyn.Glass@portlandoregon.gov,Carolyn.Glass@portlandoregon.gov,Yes,Technology Services
CHIRP,Application,Bureau Standard,BTS,"Support Delivery of Services, Provide and Maintain IT Infrastructure",Medium,<p>CHIRP is a a HAM radio programming/configuration tool used to manage the radios feature set and operations.</p><h2>Annual cost</h2><p>Free</p><h2>Publisher</h2><p>Dan Smith</p><h2>Current version</h2><p>0.4.1</p><h2>Additional information</h2><ul><li>This is an open source project</li></ul>,Full Support,,On Premise,,,Lee.Nichols@portlandoregon.gov,Lee.Nichols@portlandoregon.gov,Yes,Technology Services
CircleCI,Application,Bureau Standard,BTS,"Support Delivery of Services, IT System Development and Integration Support",Medium,"<p>CircleCI is a continuous integration tool used for building, testing, and deploying an application project, through use of automation.</p><h2>Publisher</h2><p>Circle Internet Services</p><h2>Additional information</h2><ul><li>Available in both on premise and cloud offerings</li></ul>",Bureau / Vendor Support,,On Premise,,,Rick.Schulte@portlandoregon.gov,Rick.Schulte@portlandoregon.gov,Yes,Technology Services
Cognos Cube Designer,Application,City Standard,Citywide,"Information Sharing, Data Analytics",,"<p>Cognos Cube Designer is an application used to model dimensional metadata and dynamic cubes.</p><h2>Publisher</h2><p>IBM</p><h2>Additional information</h2><ul><li>This tool is part of the Cognos Analytics application suite and cannot be used as an independent application</li><li>Cube Designer includes several modules: Data Source Explorer, Project Explorer, and Object Cube Editor</li></ul>",Full Support,,On Premise,Cognos Analytics,,Rick.Schulte@portlandoregon.gov,Rick.Schulte@portlandoregon.gov,Yes,Technology Services
Cognos Dynamic Query Analyzer (DQA),Application,City Standard,Citywide,"Information Sharing, Data Analytics",,<p>Cognos Dynamic Query Analyzer (DQA) provides a graphical interface for the execution tree logs produced by the dynamic query mode queries.</p><h2>Publisher</h2><p>IBM</p>,Full Support,,On Premise,Cognos Analytics,,Rick.Schulte@portlandoregon.gov,Rick.Schulte@portlandoregon.gov,Yes,Technology Services
Cognos Framework Manager,Application,City Standard,Citywide,"Information Sharing, Data Analytics",,<p>Cognos Framework Manager is a metadata modeling tool that drives query generation for Cognos Analytics.</p><h2>Publisher</h2><p>IBM</p>,Full Support,,On Premise,Cognos Analytics,,Rick.Schulte@portlandoregon.gov,Rick.Schulte@portlandoregon.gov,Yes,Technology Services
